STD_ID,   number,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),   ,Образование,Дата выдачи,Что именно закончил
170625,503.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,10188.0,СП,2015-06-26 00:00:00,БОРОВИЧСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ
170628,3593.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,,,,
162389,3431.0,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,5246.0,СР,2016-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
165300,2641.0,М,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4758.0,СР,2014-03-10 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
165295,2634.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4753.0,СР,2015-01-12 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
170696,2962.0,М,СТ,,ДОГ,Д,07.03.01,Архитектура,10262.0,СР,24.06.0216,"МСОШ N   8 с углубл. изучением математики, СТАРАЯ РУССА"
163003,3301.0,Ж,СТ,,БП,Д,07.03.01,Архитектура,4983.0,СР,2016-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
163002,2731.0,Ж,СТ,,БП,Д,07.03.01,Архитектура,4701.0,СР,2016-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162234,3290.0,Ж,СТ,,БП,Д,07.03.01,Архитектура,5162.0,СР,2016-06-26 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
165252,2686.0,Ж,СТ,,ДОГ,Д,07.03.01,Архитектура,4638.0,СР,2014-12-16 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162015,3455.0,Ж,СТ,,БП,Д,44.03.05,Педагогическое образование (с двумя профилями подготовки),5258.0,СР,2016-06-24 00:00:00,"Гимназия ""ГАРМОНИЯ"""
149658,2106.0,М,СТ,,ДОГ,З,11.03.03,Конструирование и технология электронных средств,9901.0,СП,2015-06-29 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
164647,2565.0,Ж,СТ,,ДОГ,З,40.03.01,Юриспруденция,10208.0,СР,2016-06-24 00:00:00,"МСОШ N   8 с углубл. изучением математики, СТАРАЯ РУССА"
185058,3759.0,М,СТ,,ДОГ,З,29.03.04,Технология художественной обработки материалов,5425.0,СП,1994-07-18 00:00:00,ТЕХНИКУМ ДРУГОЙ
85583,3728.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,793.0,СР,2010-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
170616,3556.0,М,СТ,,ДОГ,З,44.03.01,Педагогическое образование,10466.0,НП,2009-06-26 00:00:00,пту 15
99002,805.0,Ж,СТ,,ДОГ,В,54.03.01,Дизайн,1795.0,СР,2013-06-22 00:00:00,"СРЕДНЯЯ ШКОЛА N   8, НОВГОРОД"
140100,2075.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,9973.0,СР,2015-06-27 00:00:00,"СРЕДНЯЯ ШКОЛА N 1 , ЧУДОВО ул Титова"
182280,4910.0,М,СТ,,ДОГ,З,13.03.01,Теплоэнергетика и теплотехника,,,,
58419,102.0,М,СТ,,ДОГ,З,11.03.03,Конструирование и технология электронных средств,155.0,СР,2003-07-01 00:00:00,"СРЕДНЯЯ ШКОЛА N   8, НОВГОРОД"
170448,2853.0,Ж,СТ,,ДОГ,З,38.03.03,Управление персоналом,10147.0,НП,1998-07-01 00:00:00,ГУНПО технологический профессиональный лицей
170454,3218.0,Ж,СТ,,ДОГ,З,38.03.03,Управление персоналом,5136.0,СП,2016-06-30 00:00:00,ТЕХНИКУМ ДРУГОЙ
140090,2129.0,Ж,СТ,,БП,Д,07.03.03,Дизайн архитектурной среды,10051.0,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  10, НОВГОРОД"
139077,718.0,Ж,СТ,,ДОГ,З,35.03.07,Технология производства и переработки сельскохозяйственной продукции,8228.0,СР,2012-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N   1, КРЕСТЦЫ"
139077,718.0,Ж,СТ,,ДОГ,З,35.03.07,Технология производства и переработки сельскохозяйственной продукции,9987.0,СП,2015-06-26 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
152101,2180.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4502.0,СР,2015-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
141864,814.0,М,СТ,,БП,Д,01.03.02,Прикладная математика и информатика,8309.0,ОО,2013-06-18 00:00:00,"СРЕДНЯЯ ШКОЛА N  34, НОВГОРОД"
141864,814.0,М,СТ,,БП,Д,01.03.02,Прикладная математика и информатика,9658.0,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N   9, НОВГОРОД"
142722,831.0,М,СТ,,БП,Д,01.03.02,Прикладная математика и информатика,8480.0,ОО,2011-06-15 00:00:00,"Вечерняя школа № 1, г.НОВГОРОД"
142722,831.0,М,СТ,,БП,Д,01.03.02,Прикладная математика и информатика,9557.0,СР,2014-06-26 00:00:00,"Вечерняя школа № 1, г.НОВГОРОД"
200169,7814.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,,,,
84103,360.0,Ж,СТ,,БП,Д,07.03.01,Архитектура,722.0,СР,2010-06-19 00:00:00,"МОУ СОШ (полная), ХОЛМ"
162988,3669.0,М,СТ,,ДОГ,З,08.03.01,Строительство,5266.0,СР,2016-06-23 00:00:00,"МОСШ N   1 ИМЕНИ АВЕРИНА, ВАЛДАЙ"
